geography type,code,description,2013,2014,2015,2016,2017
Area_Unit_13,500100,Awanui,9,3,12,6,3
Area_Unit_14,500202,Karikari Peninsula-Maungataniwha,51,69,45,48,48
Area_Unit_15,500203,Taipa Bay-Mangonui,27,24,21,18,21
Area_Unit_16,500204,Herekino,27,15,30,18,24
Area_Unit_17,500205,Ahipara,12,12,18,9,15
Area_Unit_18,500206,North Cape,3,3,9,12,3
Area_Unit_19,500207,Houhora,6,12,9,9,12
Area_Unit_20,500208,Motutangi-Kareponia,27,30,21,21,24
Area_Unit_21,500301,Kaitaia West,48,69,75,54,69
Area_Unit_22,500302,Kaitaia East,51,45,42,39,48
Area_Unit_23,500401,Kaeo,9,6,9,6,9
Area_Unit_24,500402,Mangapa-Matauri Bay,36,36,27,30,33
Area_Unit_25,500500,Kohukohu,0,0,3,3,0
Area_Unit_26,500600,Rawene,6,6,6,9,12
Area_Unit_27,500700,Omapere and Opononi,6,9,3,6,3
Area_Unit_28,500801,Hokianga North,15,21,24,15,15
Area_Unit_29,500802,Hokianga South,45,30,39,45,36
Area_Unit_30,500900,Kerikeri,78,75,72,72,60
Area_Unit_31,501000,Russell,6,3,3,3,6
Area_Unit_32,501100,Paihia,15,15,27,15,9
Area_Unit_33,501200,Haruru Falls,15,18,9,15,12
Area_Unit_34,501300,Opua East,3,0,3,6,3
Area_Unit_35,501400,Kawakawa,27,30,33,30,36
Area_Unit_36,501500,Moerewa,24,21,33,42,24
Area_Unit_37,501611,Waitangi-Te Tii,0,0,0,0,0
Area_Unit_38,501612,Opua West,6,3,3,3,3
Area_Unit_39,501613,Bay of Islands,0,0,0,0,0
Area_Unit_40,501614,Kapiro,15,24,33,30,27
Area_Unit_41,501615,Waitangi,6,9,3,12,9
Area_Unit_42,501620,Pokere-Waihaha,27,27,27,45,39
Area_Unit_43,501631,Okaihau,9,9,9,6,3
Area_Unit_44,501632,Ohaeawai,9,9,9,9,15
Area_Unit_45,501633,Waihou Valley-Hupara,57,39,42,42,45
Area_Unit_46,501634,Ngapuhi-Kaikou,27,33,30,30,42
